greedy_ans,strict_ans,greedy_value,greedy_value2,strict_value,strict_value2,kinjiritu,random_seed
37-15-48,15-37-48,42.66000,42.66000,42.66000,42.66000,1.00000,0.00000
15-37-48,15-37-48,43.32000,43.32000,43.32000,43.32000,1.00000,1.00000
48-15-37,15-37-42,43.26000,43.26000,43.27000,43.27000,0.99977,2.00000
15-37-48,15-37-48,43.15000,43.15000,43.15000,43.15000,1.00000,3.00000
15-37-48,15-37-48,43.06000,43.06000,43.06000,43.06000,1.00000,4.00000
15-37-48,15-37-48,43.36000,43.36000,43.36000,43.36000,1.00000,5.00000
15-37-48,15-37-48,43.30000,43.30000,43.30000,43.30000,1.00000,6.00000
15-37-48,15-37-48,43.42000,43.42000,43.42000,43.42000,1.00000,7.00000
37-15-48,15-37-48,43.08000,43.08000,43.08000,43.08000,1.00000,8.00000
15-37-48,15-37-48,43.49000,43.49000,43.49000,43.49000,1.00000,9.00000
15-42-37,15-37-42,42.55000,42.55000,42.55000,42.55000,1.00000,0.00000
15-37-48,15-37-48,43.34000,43.34000,43.34000,43.34000,1.00000,1.00000
15-37-48,0-15-48,42.65000,42.65000,42.87000,42.87000,0.99487,2.00000
15-37-48,15-37-48,43.18000,43.18000,43.18000,43.18000,1.00000,3.00000
15-37-19,15-19-37,42.94000,42.94000,42.94000,42.94000,1.00000,4.00000
15-48-37,15-37-48,43.80000,43.80000,43.80000,43.80000,1.00000,5.00000
48-37-42,37-42-48,42.75000,42.75000,42.75000,42.75000,1.00000,6.00000
15-19-37,15-19-37,43.25000,43.25000,43.25000,43.25000,1.00000,7.00000
37-42-36,0-15-37,42.56000,42.56000,42.85000,42.85000,0.99323,8.00000
15-8-37,15-36-48,42.65000,42.65000,42.77000,42.77000,0.99719,9.00000
0-37-15,0-15-37,42.08000,42.08000,42.08000,42.08000,1.00000,0.00000
0-15-37,1-15-48,42.62000,42.62000,42.73000,42.73000,0.99743,1.00000
0-37-42,0-15-48,41.99000,41.99000,42.13000,42.13000,0.99668,2.00000
0-15-37,0-15-37,42.32000,42.32000,42.32000,42.32000,1.00000,3.00000
0-15-48,0-15-48,42.33000,42.33000,42.33000,42.33000,1.00000,4.00000
1-48-37,0-15-37,41.77000,41.77000,42.48000,42.48000,0.98329,5.00000
0-37-15,0-15-37,42.10000,42.10000,42.10000,42.10000,1.00000,6.00000
0-15-37,1-15-48,42.50000,42.50000,42.69000,42.69000,0.99555,7.00000
1-15-37,1-15-37,42.20000,42.20000,42.20000,42.20000,1.00000,8.00000
0-37-15,0-15-37,42.22000,42.22000,42.22000,42.22000,1.00000,9.00000
0-37-15,0-15-37,42.25000,42.25000,42.25000,42.25000,1.00000,0.00000
0-15-37,0-37-42,42.31000,42.31000,42.41000,42.41000,0.99764,1.00000
1-15-36,0-15-37,41.98000,41.98000,42.85000,42.85000,0.97970,2.00000
0-37-15,1-15-37,42.26000,42.26000,42.50000,42.50000,0.99435,3.00000
1-15-48,1-15-48,42.80000,42.80000,42.80000,42.80000,1.00000,4.00000
0-37-15,0-15-37,42.86000,42.86000,42.86000,42.86000,1.00000,5.00000
1-37-42,0-15-37,41.85000,41.85000,42.32000,42.32000,0.98889,6.00000
1-37-42,0-15-37,42.38000,42.38000,42.84000,42.84000,0.98926,7.00000
1-48-37,0-15-37,41.84000,41.84000,42.75000,42.75000,0.97871,8.00000
0-37-15,0-15-37,42.33000,42.33000,42.33000,42.33000,1.00000,9.00000
0-15-37,0-15-37,42.09000,42.09000,42.09000,42.09000,1.00000,0.00000
1-15-37,1-15-37,42.99000,42.99000,42.99000,42.99000,1.00000,1.00000
1-15-48,0-15-37,42.28000,42.28000,42.67000,42.67000,0.99086,2.00000
1-15-48,1-15-48,42.73000,42.73000,42.73000,42.73000,1.00000,3.00000
0-15-37,37-42-48,42.62000,42.62000,42.71000,42.71000,0.99789,4.00000
0-15-48,1-15-37,42.60000,42.60000,42.61000,42.61000,0.99977,5.00000
1-15-37,1-15-37,42.32000,42.32000,42.32000,42.32000,1.00000,6.00000
