greedy_ans,strict_ans,greedy_value,greedy_value2,strict_value,strict_value2,kinjiritu,random_seed
1-18-48,1-18-48,26.55300,26.55300,26.55300,26.55300,1.00000,0.00000
1-18-21,1-18-21,26.70400,26.70400,26.70400,26.70400,1.00000,1.00000
1-18-48,1-18-48,26.55800,26.55800,26.55800,26.55800,1.00000,2.00000
1-18-48,1-18-48,26.55000,26.55000,26.55000,26.55000,1.00000,3.00000
1-18-48,1-18-48,26.55700,26.55700,26.55700,26.55700,1.00000,4.00000
1-48-18,1-18-48,26.45900,26.45900,26.45900,26.45900,1.00000,5.00000
1-18-48,1-18-48,26.56400,26.56400,26.56400,26.56400,1.00000,6.00000
1-48-18,1-18-48,26.53500,26.53500,26.53500,26.53500,1.00000,7.00000
1-18-48,1-18-48,26.58500,26.58500,26.58500,26.58500,1.00000,8.00000
1-18-48,1-18-48,26.58000,26.58000,26.58000,26.58000,1.00000,9.00000
0-48-8,0-8-48,37.61000,37.61000,37.61000,37.61000,1.00000,0.00000
0-48-8,0-8-48,37.77800,37.77800,37.77800,37.77800,1.00000,1.00000
0-48-8,0-8-48,37.69800,37.69800,37.69800,37.69800,1.00000,2.00000
0-48-8,0-8-48,37.63400,37.63400,37.63400,37.63400,1.00000,3.00000
0-48-8,0-8-48,37.71800,37.71800,37.71800,37.71800,1.00000,4.00000
0-48-21,0-21-48,37.47300,37.47300,37.47300,37.47300,1.00000,5.00000
0-8-48,0-8-48,37.69400,37.69400,37.69400,37.69400,1.00000,6.00000
0-8-48,0-8-48,37.72700,37.72700,37.72700,37.72700,1.00000,7.00000
0-8-48,0-8-48,37.59300,37.59300,37.59300,37.59300,1.00000,8.00000
0-8-48,0-21-48,37.56600,37.56600,37.63400,37.63400,0.99819,9.00000
1-0-48,0-1-48,71.48200,71.48200,71.48200,71.48200,1.00000,0.00000
1-0-48,0-1-48,71.83200,71.83200,71.83200,71.83200,1.00000,1.00000
1-0-48,0-1-48,71.73500,71.73500,71.73500,71.73500,1.00000,2.00000
1-0-48,0-1-48,71.44500,71.44500,71.44500,71.44500,1.00000,3.00000
1-0-48,0-1-48,71.71800,71.71800,71.71800,71.71800,1.00000,4.00000
1-0-48,0-1-48,71.39700,71.39700,71.39700,71.39700,1.00000,5.00000
1-0-48,0-1-48,71.68100,71.68100,71.68100,71.68100,1.00000,6.00000
1-0-48,0-1-48,71.73200,71.73200,71.73200,71.73200,1.00000,7.00000
1-0-48,0-1-48,71.52500,71.52500,71.52500,71.52500,1.00000,8.00000
1-0-48,0-1-48,71.68600,71.68600,71.68600,71.68600,1.00000,9.00000
1-0-48,0-1-48,72.70600,72.70600,72.70600,72.70600,1.00000,0.00000
1-0-48,0-1-48,73.03900,73.03900,73.03900,73.03900,1.00000,1.00000
1-0-48,0-1-48,72.76600,72.76600,72.76600,72.76600,1.00000,2.00000
1-0-48,0-1-48,72.63700,72.63700,72.63700,72.63700,1.00000,3.00000
1-0-48,0-1-48,72.75100,72.75100,72.75100,72.75100,1.00000,4.00000
1-0-48,0-1-48,72.64300,72.64300,72.64300,72.64300,1.00000,5.00000
