greedy_ans,strict_ans,greedy_value,greedy_value2,strict_value,strict_value2,kinjiritu,random_seed
21-37-55,2-18-48,23.00000,23.00000,24.00000,24.00000,0.95833,0.00000
1-2-5,1-2-5,23.00000,23.00000,23.00000,23.00000,1.00000,1.00000
1-18-22,1-18-22,31.00000,31.00000,31.00000,31.00000,1.00000,2.00000
1-18-21,1-18-21,28.00000,28.00000,28.00000,28.00000,1.00000,3.00000
1-15-37,1-2-18,28.00000,28.00000,28.00000,28.00000,1.00000,4.00000
1-48-15,1-18-21,29.00000,29.00000,30.00000,30.00000,0.96667,5.00000
1-35-37,1-8-48,24.00000,24.00000,24.00000,24.00000,1.00000,6.00000
1-6-15,1-2-43,28.00000,28.00000,29.00000,29.00000,0.96552,7.00000
1-18-21,1-18-21,30.00000,30.00000,30.00000,30.00000,1.00000,8.00000
1-48-27,1-22-82,32.00000,32.00000,32.00000,32.00000,1.00000,9.00000
0-48-15,5-8-32,30.00000,30.00000,33.00000,33.00000,0.90909,0.00000
0-48-15,0-2-3,33.00000,33.00000,33.00000,33.00000,1.00000,1.00000
0-48-51,0-8-21,43.00000,43.00000,43.00000,43.00000,1.00000,2.00000
0-48-8,0-2-8,39.00000,39.00000,39.00000,39.00000,1.00000,3.00000
0-8-15,0-8-15,37.00000,37.00000,37.00000,37.00000,1.00000,4.00000
0-8-21,0-8-21,41.00000,41.00000,41.00000,41.00000,1.00000,5.00000
0-48-18,0-8-21,36.00000,36.00000,36.00000,36.00000,1.00000,6.00000
0-8-37,0-8-37,41.00000,41.00000,41.00000,41.00000,1.00000,7.00000
0-4-15,0-21-28,40.00000,40.00000,42.00000,42.00000,0.95238,8.00000
0-30-15,0-18-50,41.00000,41.00000,42.00000,42.00000,0.97619,9.00000
8-48-61,48-51-61,71.00000,71.00000,73.00000,73.00000,0.97260,0.00000
0-15-48,48-49-61,78.00000,78.00000,79.00000,79.00000,0.98734,1.00000
1-4-15,0-1-48,79.00000,79.00000,79.00000,79.00000,1.00000,2.00000
0-18-61,0-14-48,76.00000,76.00000,77.00000,77.00000,0.98701,3.00000
0-1-48,1-4-48,73.00000,73.00000,75.00000,75.00000,0.97333,4.00000
61-37-51,6-15-48,75.00000,75.00000,77.00000,77.00000,0.97403,5.00000
1-25-37,1-21-48,69.00000,69.00000,70.00000,70.00000,0.98571,6.00000
6-34-37,1-20-37,69.00000,69.00000,71.00000,71.00000,0.97183,7.00000
1-18-48,1-18-48,75.00000,75.00000,75.00000,75.00000,1.00000,8.00000
1-9-0,0-1-3,72.00000,72.00000,72.00000,72.00000,1.00000,9.00000
21-24-37,33-37-93,70.00000,70.00000,73.00000,73.00000,0.95890,0.00000
0-37-61,8-15-48,77.00000,77.00000,79.00000,79.00000,0.97468,1.00000
21-37-61,2-32-48,85.00000,85.00000,85.00000,85.00000,1.00000,2.00000
0-28-61,0-33-48,76.00000,76.00000,77.00000,77.00000,0.98701,3.00000
1-48-15,1-15-48,80.00000,80.00000,80.00000,80.00000,1.00000,4.00000
1-0-48,0-1-48,75.00000,75.00000,75.00000,75.00000,1.00000,5.00000
0-48-15,16-21-48,69.00000,69.00000,71.00000,71.00000,0.97183,6.00000
0-2-8,1-4-37,71.00000,71.00000,72.00000,72.00000,0.98611,7.00000
0-24-35,20-37-40,72.00000,72.00000,76.00000,76.00000,0.94737,8.00000
1-2-0,1-15-49,73.00000,73.00000,75.00000,75.00000,0.97333,9.00000
2-37-48,2-48-51,71.00000,71.00000,72.00000,72.00000,0.98611,0.00000
0-6-37,0-2-48,75.00000,75.00000,76.00000,76.00000,0.98684,1.00000
0-15-48,0-12-73,80.00000,80.00000,81.00000,81.00000,0.98765,2.00000
0-33-48,0-33-48,77.00000,77.00000,77.00000,77.00000,1.00000,3.00000
0-48-37,0-4-12,77.00000,77.00000,77.00000,77.00000,1.00000,4.00000
0-48-12,0-1-12,73.00000,73.00000,73.00000,73.00000,1.00000,5.00000
0-15-35,0-2-12,67.00000,67.00000,67.00000,67.00000,1.00000,6.00000
0-3-15,0-12-15,71.00000,71.00000,72.00000,72.00000,0.98611,7.00000
0-4-28,0-6-48,72.00000,72.00000,73.00000,73.00000,0.98630,8.00000
0-9-37,0-12-48,74.00000,74.00000,75.00000,75.00000,0.98667,9.00000
61-28-48,4-6-48,73.00000,73.00000,73.00000,73.00000,1.00000,0.00000
0-48-32,0-32-48,80.00000,80.00000,80.00000,80.00000,1.00000,1.00000
8-43-36,11-61-67,82.00000,82.00000,85.00000,85.00000,0.96471,2.00000
0-48-51,0-4-33,77.00000,77.00000,77.00000,77.00000,1.00000,3.00000
8-35-93,11-37-48,79.00000,79.00000,81.00000,81.00000,0.97531,4.00000
0-48-3,37-48-61,75.00000,75.00000,78.00000,78.00000,0.96154,5.00000
1-55-37,1-37-55,72.00000,72.00000,72.00000,72.00000,1.00000,6.00000
1-9-11,0-8-11,72.00000,72.00000,72.00000,72.00000,1.00000,7.00000
1-48-37,1-37-48,77.00000,77.00000,77.00000,77.00000,1.00000,8.00000
1-0-35,0-9-48,74.00000,74.00000,75.00000,75.00000,0.98667,9.00000
61-51-76,6-28-48,70.00000,70.00000,71.00000,71.00000,0.98592,0.00000
8-37-31,6-31-48,75.00000,75.00000,76.00000,76.00000,0.98684,1.00000
6-5-37,4-37-76,81.00000,81.00000,83.00000,83.00000,0.97590,2.00000
1-0-48,0-1-48,77.00000,77.00000,77.00000,77.00000,1.00000,3.00000
0-27-37,31-48-61,75.00000,75.00000,79.00000,79.00000,0.94937,4.00000
61-48-51,8-15-48,75.00000,75.00000,75.00000,75.00000,1.00000,5.00000
0-33-37,1-10-31,67.00000,67.00000,69.00000,69.00000,0.97101,6.00000
1-33-15,0-15-35,69.00000,69.00000,71.00000,71.00000,0.97183,7.00000
8-48-51,8-48-51,76.00000,76.00000,76.00000,76.00000,1.00000,8.00000
61-51-57,31-48-61,74.00000,74.00000,75.00000,75.00000,0.98667,9.00000
61-67-28,2-48-61,72.00000,72.00000,73.00000,73.00000,0.98630,0.00000
1-0-15,48-49-61,76.00000,76.00000,79.00000,79.00000,0.96203,1.00000
8-61-43,5-61-93,82.00000,82.00000,84.00000,84.00000,0.97619,2.00000
8-51-55,0-33-37,74.00000,74.00000,77.00000,77.00000,0.96104,3.00000
61-48-22,6-48-93,80.00000,80.00000,80.00000,80.00000,1.00000,4.00000
0-48-37,8-40-48,75.00000,75.00000,76.00000,76.00000,0.98684,5.00000
0-18-1,6-15-36,67.00000,67.00000,70.00000,70.00000,0.95714,6.00000
1-37-61,0-2-48,72.00000,72.00000,72.00000,72.00000,1.00000,7.00000
21-48-8,8-35-48,75.00000,75.00000,77.00000,77.00000,0.97403,8.00000
21-48-18,0-35-36,75.00000,75.00000,76.00000,76.00000,0.98684,9.00000
6-15-24,1-15-48,71.00000,71.00000,76.00000,76.00000,0.93421,0.00000
0-48-32,21-48-61,79.00000,79.00000,80.00000,80.00000,0.98750,1.00000
1-0-28,0-1-28,83.00000,83.00000,83.00000,83.00000,1.00000,2.00000
0-27-51,6-48-61,77.00000,77.00000,79.00000,79.00000,0.97468,3.00000
1-48-15,1-15-48,80.00000,80.00000,80.00000,80.00000,1.00000,4.00000
0-48-51,8-15-76,76.00000,76.00000,78.00000,78.00000,0.97436,5.00000
1-8-24,1-2-15,71.00000,71.00000,71.00000,71.00000,1.00000,6.00000
0-4-8,0-15-22,72.00000,72.00000,73.00000,73.00000,0.98630,7.00000
1-2-15,1-2-15,74.00000,74.00000,74.00000,74.00000,1.00000,8.00000
1-0-55,0-1-55,76.00000,76.00000,76.00000,76.00000,1.00000,9.00000
37-24-51,24-37-51,74.00000,74.00000,74.00000,74.00000,1.00000,0.00000
1-0-15,8-15-18,77.00000,77.00000,80.00000,80.00000,0.96250,1.00000
0-15-37,3-21-37,84.00000,84.00000,85.00000,85.00000,0.98824,2.00000
0-14-61,4-15-21,76.00000,76.00000,78.00000,78.00000,0.97436,3.00000
0-67-37,6-18-67,79.00000,79.00000,80.00000,80.00000,0.98750,4.00000
8-33-55,4-15-61,77.00000,77.00000,77.00000,77.00000,1.00000,5.00000
8-36-55,1-30-67,70.00000,70.00000,72.00000,72.00000,0.97222,6.00000
0-3-4,0-3-4,71.00000,71.00000,71.00000,71.00000,1.00000,7.00000
0-23-33,4-36-37,76.00000,76.00000,78.00000,78.00000,0.97436,8.00000
0-29-8,0-3-62,74.00000,74.00000,75.00000,75.00000,0.98667,9.00000
